Target Distance: 50, Step Size: 2
0: (x, y) = (0, 0)
1: (x, y) = (1.15396, 1.63352)
2: (x, y) = (2.00231, -0.177637)
3: (x, y) = (1.60669, 1.78284)
4: (x, y) = (3.50044, 1.13965)
5: (x, y) = (5.47785, 1.43941)
6: (x, y) = (4.71045, -0.407508)
7: (x, y) = (3.05183, -1.52509)
8: (x, y) = (1.82674, -3.10595)
9: (x, y) = (3.56903, -4.088)
10: (x, y) = (3.92983, -2.12081)
11: (x, y) = (5.65447, -3.13354)
12: (x, y) = (5.07019, -1.22079)
13: (x, y) = (5.13208, 0.778254)
14: (x, y) = (6.62824, -0.548969)
15: (x, y) = (5.40314, -2.12984)
16: (x, y) = (3.50377, -1.50343)
17: (x, y) = (5.46599, -1.89032)
18: (x, y) = (7.09435, -0.7291)
19: (x, y) = (5.0956, -0.658364)
20: (x, y) = (7.05431, -0.254064)
21: (x, y) = (9.01987, 0.115499)
22: (x, y) = (10.8564, 0.907405)
23: (x, y) = (8.98663, 0.197528)
24: (x, y) = (8.90705, -1.80089)
25: (x, y) = (10.8992, -1.62409)
26: (x, y) = (9.94035, 0.13106)
27: (x, y) = (9.86076, -1.86736)
28: (x, y) = (9.44786, -3.82427)
29: (x, y) = (7.80928, -4.97103)
30: (x, y) = (7.17448, -6.86762)
31: (x, y) = (7.9255, -5.01398)
32: (x, y) = (9.27252, -6.49234)
33: (x, y) = (9.68548, -8.44924)
34: (x, y) = (11.2389, -9.70902)
35: (x, y) = (13.0537, -8.86868)
36: (x, y) = (11.5344, -7.56811)
37: (x, y) = (10.4095, -5.91445)
38: (x, y) = (12.1772, -4.97896)
39: (x, y) = (11.7469, -3.02579)
40: (x, y) = (13.6623, -3.60154)
41: (x, y) = (13.3887, -1.62033)
42: (x, y) = (15.2825, -2.26352)
43: (x, y) = (15.4328, -4.25786)
44: (x, y) = (15.1769, -6.24142)
45: (x, y) = (15.7611, -4.32865)
46: (x, y) = (16.3791, -2.42652)
47: (x, y) = (16.2288, -4.42087)
48: (x, y) = (18.0922, -3.69447)
49: (x, y) = (19.0042, -5.47446)
50: (x, y) = (17.012, -5.29772)
51: (x, y) = (15.1551, -6.04059)
52: (x, y) = (14.7076, -7.98989)
53: (x, y) = (12.742, -7.62038)
54: (x, y) = (12.7332, -9.62036)
55: (x, y) = (13.6452, -11.4004)
56: (x, y) = (15.153, -10.0864)
57: (x, y) = (13.6686, -8.74597)
58: (x, y) = (13.536, -6.75037)
59: (x, y) = (15.5356, -6.71497)
60: (x, y) = (15.3677, -4.72204)
61: (x, y) = (13.68, -5.79523)
62: (x, y) = (11.7647, -6.37104)
63: (x, y) = (10.2225, -5.09756)
64: (x, y) = (11.0548, -3.27894)
65: (x, y) = (10.2385, -1.45308)
66: (x, y) = (11.1028, 0.350526)
67: (x, y) = (12.9908, 1.01051)
68: (x, y) = (12.3392, 2.90138)
69: (x, y) = (11.4909, 1.0902)
70: (x, y) = (12.7438, -0.468699)
71: (x, y) = (10.9761, 0.466738)
72: (x, y) = (9.64218, 1.95696)
73: (x, y) = (7.64226, 1.93926)
74: (x, y) = (9.13842, 0.612039)
75: (x, y) = (8.62221, -1.3202)
